City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,revelstoke,50.9832,-118.2023,33.82,93,100,4.61,CA,1675999779
276,cayhagan,9.6697,122.4256,84.07,66,86,12.68,PH,1675999779
277,farafangana,-22.8167,47.8333,72.64,90,92,4.03,MG,1675999780
278,coahuayana,18.7333,-103.6833,70.43,86,1,1.97,MX,1675999780
279,bilma,18.6853,12.9164,63.14,21,1,11.99,NE,1675999780
280,normandin,48.8333,-72.5321,14.13,67,100,3.44,CA,1675999781
281,derzhavinsk,51.1,66.3167,-2.78,100,97,9.44,KZ,1675999781
282,vostok,46.4856,135.8833,13.93,69,100,0.36,RU,1675999782
283,lebu,-37.6167,-73.65,58.93,95,3,5.39,CL,1675999782
284,dikson,73.5069,80.5464,3.34,93,100,30.53,RU,1675999783
285,itaocara,-21.6692,-42.0761,71.94,97,100,2.35,BR,1675999783
286,nyurba,63.2842,118.3319,-32.22,95,99,4.85,RU,1675999783
287,nampula,-15.1165,39.2666,73.35,94,40,10.36,MZ,1675999784
288,beisfjord,68.3751,17.5988,30.04,92,100,6.82,NO,1675999784
289,koutsouras,35.0339,25.9469,47.1,61,21,9.35,GR,1675999785
290,atherton,53.5237,-2.4935,42.04,81,100,1.99,GB,1675999785
291,moroni,-11.7022,43.2551,79.43,81,39,3.96,KM,1675999786
292,mehamn,71.0357,27.8492,31.95,86,100,25.32,NO,1675999786
293,sabha,27.0377,14.4283,46.53,73,68,6.71,LY,1675999786
294,riyadh,24.6877,46.7219,46.54,41,100,6.76,SA,1675999787
295,rudbar,30.15,62.6,46.9,57,8,9.95,AF,1675999787
296,florence,43.7667,11.25,36.68,57,0,2.3,IT,1675999788
297,bongandanga,1.5,21.05,69.58,34,99,1.74,CD,1675999788
298,longyearbyen,78.2186,15.6401,19.24,79,75,12.66,SJ,1675999788
299,cotonou,6.3654,2.4183,79.84,86,2,7.54,BJ,1675999737
300,seymchan,62.8833,152.4333,-32.39,92,86,1.34,RU,1675999789
301,ingham,42.6,-84.3833,39.15,93,100,9.22,US,1675999790
302,urucara,-2.5364,-57.76,73.72,97,95,0.94,BR,1675999790
303,grand gaube,-20.0064,57.6608,81.37,74,61,5.99,MU,1675999790
304,bull savanna,17.8868,-77.5902,71.26,82,1,7.47,JM,1675999791
305,barra patuca,15.8,-84.2833,76.3,80,7,12.33,HN,1675999791
306,blytheville,35.9273,-89.919,44.58,81,0,0.0,US,1675999792
307,alta floresta,-9.8756,-56.0861,70.86,96,100,2.26,BR,1675999792
308,dawlatabad,36.4141,64.9053,31.19,94,100,5.57,AF,1675999793
309,bathsheba,13.2167,-59.5167,77.61,73,20,24.16,BB,1675999793
310,yarada,17.65,83.2667,77.32,78,67,2.3,IN,1675999794
311,arroyo,41.6096,-4.7969,37.11,78,0,5.75,ES,1675999794
312,hami,42.8,93.45,37.31,33,69,5.48,CN,1675999795
313,los llanos de aridane,28.6585,-17.9182,55.15,82,20,6.91,ES,1675999795
314,clyde river,70.4692,-68.5914,-28.97,75,0,8.05,CA,1675999796
315,deputatskiy,69.3,139.9,-40.4,98,85,3.38,RU,1675999796
316,tabuk,17.4189,121.4443,79.5,66,100,6.2,PH,1675999797
317,port keats,-14.25,129.55,82.74,82,100,6.04,AU,1675999797
318,yatou,37.15,122.3833,42.06,60,9,8.81,CN,1675999797
319,imbituba,-28.24,-48.6703,69.84,91,91,8.23,BR,1675999798
320,hamilton,39.1834,-84.5333,44.65,75,100,24.16,US,1675999612
321,huntsville,34.7304,-86.5861,52.93,77,0,5.75,US,1675999500
322,dali,25.7,100.1833,54.48,38,0,4.25,CN,1675999799
323,tarsus,36.9188,34.8784,39.07,49,0,6.31,TR,1675999799
324,daru,-9.0763,143.2092,79.02,85,100,9.82,PG,1675999800
325,shingu,33.7333,135.9833,50.58,93,100,6.78,JP,1675999800
326,norman wells,65.282,-126.8329,-7.56,77,20,5.75,CA,1675999801
327,ostrovnoy,68.0531,39.5131,32.07,84,97,25.03,RU,1675999801
328,jutai,-5.1833,-68.9,72.12,98,94,2.08,BR,1675999802
329,horodnye,45.8908,28.8483,18.19,82,4,2.51,UA,1675999802
330,high level,58.5169,-117.136,23.11,100,100,5.75,CA,1675999803
331,lasa,46.6166,10.7002,27.48,56,17,6.4,IT,1675999804
332,zhongshu,24.5167,103.7667,65.7,29,3,16.11,CN,1675999805
333,nisia floresta,-6.0911,-35.2086,79.61,87,98,7.23,BR,1675999806
334,narsaq,60.9167,-46.05,21.42,97,100,2.89,GL,1675999807
335,taman,45.2117,36.7161,26.73,73,8,17.2,RU,1675999808
336,montauban,44.0833,1.5,34.29,82,14,2.59,FR,1675999808
337,joniskis,56.2403,23.6153,31.12,81,99,21.14,LT,1675999809
338,monterey,36.2505,-121.2516,52.18,1,2,5.21,US,1675999701
339,nanortalik,60.1432,-45.2371,29.53,96,100,7.31,GL,1675999811
340,sibolga,1.7427,98.7792,79.03,83,91,0.6,ID,1675999811
341,bandarbeyla,9.4942,50.8122,75.85,72,10,14.5,SO,1675999812
342,port macquarie,-31.4333,152.9167,83.89,62,21,13.02,AU,1675999813
343,katobu,-4.9408,122.5276,85.89,62,100,6.62,ID,1675999813
344,tezpur,26.6333,92.8,61.07,79,100,3.87,IN,1675999538
345,burns lake,54.2331,-125.7533,33.22,98,100,3.31,CA,1675999815
346,nioki,-2.7167,17.6833,73.06,77,86,2.93,CD,1675999816
347,carutapera,-1.195,-46.02,76.14,91,74,4.21,BR,1675999818
348,cherskiy,68.75,161.3,-40.68,98,96,4.81,RU,1675999822
349,makakilo city,21.3469,-158.0858,77.32,59,40,26.46,US,1675999761
350,leningradskiy,69.3833,178.4167,-31.02,98,78,6.91,RU,1675999823
351,victoria,22.2855,114.1577,72.97,87,91,3.0,HK,1675999607
352,vanavara,60.34,102.2797,-8.73,99,100,2.98,RU,1675999824
353,lodwar,3.1191,35.5973,79.83,40,6,5.91,KE,1675999825
354,maloco,11.7832,122.152,78.89,86,90,11.95,PH,1675999826
355,phalaborwa,-23.943,31.1411,70.88,95,100,7.38,ZA,1675999826
356,srandakan,-7.9386,110.2506,84.97,65,60,6.78,ID,1675999827
357,lata,40.1629,-8.3327,46.08,73,0,6.35,PT,1675999827
358,byron bay,-28.65,153.6167,82.94,57,1,12.55,AU,1675999824
359,batticaloa,7.7102,81.6924,79.23,76,88,8.28,LK,1675999829
360,walvis bay,-22.9575,14.5053,67.15,77,100,5.75,NA,1675999830
361,korla,41.7597,86.1469,32.76,49,100,0.81,CN,1675999830
362,abu ghosh,31.8059,35.1093,42.62,81,78,1.01,IL,1675999831
363,svetlogorsk,52.6333,29.7333,18.79,92,19,9.89,BY,1675999832
364,bell ville,-32.6259,-62.6887,75.47,33,0,5.17,AR,1675999832
365,kefar yona,32.3167,34.9351,47.91,66,91,11.65,IL,1675999833
366,katsuura,35.1333,140.3,41.02,86,100,15.17,JP,1675999834
367,kalmunai,7.4167,81.8167,79.7,76,69,8.37,LK,1675999834
368,hobyo,5.3505,48.5268,76.03,72,5,16.93,SO,1675999835
369,viedma,-40.8135,-62.9967,81.05,33,62,22.41,AR,1675999835
370,korsakov,46.6328,142.7813,12.04,83,99,5.53,RU,1675999835
371,maniitsoq,65.4167,-52.9,0.39,99,92,16.8,GL,1675999836
372,tual,-5.6667,132.75,82.53,77,100,22.95,ID,1675999838
373,bako,5.7833,36.5667,67.12,41,26,4.18,ET,1675999838
374,naze,28.3667,129.4833,67.12,78,98,17.56,JP,1675999839
375,bridlington,54.0831,-0.1919,40.28,86,91,15.82,GB,1675999839
376,atlantic city,39.3643,-74.4229,58.17,83,0,18.41,US,1675999775
377,champerico,14.3,-91.9167,77.61,75,0,2.3,GT,1675999840
378,poum,-20.2333,164.0167,82.27,84,100,26.04,NC,1675999841
379,svetlaya,46.5389,138.3297,16.16,49,100,2.84,RU,1675999841
380,rocha,-34.4833,-54.3333,65.19,94,0,4.47,UY,1675999766
381,tygda,53.1167,126.3333,-0.35,88,100,5.44,RU,1675999842
382,celestun,20.8667,-90.4,76.32,76,50,8.77,MX,1675999842
383,san ignacio,17.1561,-89.0714,75.34,88,0,6.91,BZ,1675999843
384,coruripe,-10.1256,-36.1756,77.81,82,65,7.78,BR,1675999775
385,libenge,3.65,18.6333,70.54,28,40,2.62,CD,1675999844
386,norilsk,69.3535,88.2027,-3.84,96,100,10.83,RU,1675999844
387,straseni,47.1414,28.6103,10.33,81,61,2.17,MD,1675999844
388,tessalit,20.1986,1.0114,66.56,13,13,11.16,ML,1675999845
389,armidale,-30.5167,151.65,80.13,31,25,8.08,AU,1675999846
390,petropavlovsk-kamchatskiy,53.0452,158.6483,10.99,62,75,6.71,RU,1675999596
391,lavrentiya,65.5833,-171.0,-19.3,94,84,5.14,RU,1675999846
392,fukue,32.6881,128.8419,55.76,76,75,24.16,JP,1675999847
393,gamba,-2.65,10.0,78.1,87,89,3.38,GA,1675999847
394,yulara,-25.2406,130.9889,100.72,12,0,6.82,AU,1675999847
395,tommot,58.9564,126.2925,-8.48,96,99,1.12,RU,1675999848
396,rincon,32.296,-81.2354,67.96,80,75,8.05,US,1675999848
397,puerto ayacucho,5.6639,-67.6236,76.41,80,68,2.24,VE,1675999849
398,bonthe,7.5264,-12.505,75.79,87,72,4.29,SL,1675999849
399,catuday,16.2923,119.8062,81.54,56,100,7.74,PH,1675999850
400,avera,33.194,-82.5271,65.71,91,100,5.14,US,1675999850
401,san quintin,30.4833,-115.95,61.68,34,0,2.98,MX,1675999851
402,luderitz,-26.6481,15.1594,62.35,91,8,8.41,NA,1675999851
403,kamaishi,39.2667,141.8833,33.91,73,100,10.29,JP,1675999852
404,awbari,26.5921,12.7805,45.32,68,84,4.81,LY,1675999852
405,tasiilaq,65.6145,-37.6368,21.36,70,100,14.56,GL,1675999852
406,sao felix do xingu,-6.6447,-51.995,70.92,99,100,0.76,BR,1675999853
407,dabakala,8.3667,-4.4333,77.18,66,8,4.56,CI,1675999853
408,ulladulla,-35.35,150.4667,78.04,59,15,8.52,AU,1675999854
409,togur,58.3631,82.8265,-1.41,94,99,5.64,RU,1675999855
410,san policarpo,12.1791,125.5072,80.46,84,100,14.12,PH,1675999855
411,labuhan,-6.8844,112.2051,82.96,78,70,11.39,ID,1675999855
412,aran,40.6253,46.9756,33.35,80,100,5.75,AZ,1675999856
413,kathmandu,27.7167,85.3167,52.84,79,20,2.3,NP,1675999856
414,palembang,-2.9167,104.7458,84.29,74,75,10.36,ID,1675999857
415,bani walid,31.7566,13.9942,47.57,67,0,15.5,LY,1675999857
416,sault sainte marie,46.5168,-84.3333,34.36,96,100,11.5,CA,1675999627
417,miami,25.7743,-80.1937,76.01,82,20,12.66,US,1675999180
418,bubaque,11.2833,-15.8333,73.71,68,11,13.96,GW,1675999858
419,shaunavon,49.6501,-108.4181,17.38,76,16,12.75,CA,1675999859
420,hirara,24.8,125.2833,75.47,78,75,5.75,JP,1675999859
421,paamiut,61.994,-49.6678,18.52,90,100,21.59,GL,1675999859
422,scarborough,54.2797,-0.4044,40.66,87,99,3.0,GB,1675999801
423,hwange,-18.3693,26.5019,65.98,97,96,0.69,ZW,1675999860
424,ochakiv,46.6128,31.5498,25.95,54,63,4.03,UA,1675999860
425,sibu,2.3,111.8167,82.71,74,40,3.44,MY,1675999861
426,mata,40.683,-7.4592,38.93,79,4,6.06,PT,1675999862
427,kuytun,54.3419,101.5036,7.18,93,100,3.36,RU,1675999862
428,chapais,49.7834,-74.8492,11.98,92,100,8.95,CA,1675999863
429,sakaiminato,35.55,133.2333,42.78,100,75,9.22,JP,1675999864
430,constitucion,-35.3333,-72.4167,60.91,72,0,12.19,CL,1675999856
431,husavik,66.0449,-17.3389,22.17,69,100,11.72,IS,1675999865
432,jumla,29.2747,82.1838,50.07,36,5,3.04,NP,1675999866
433,zhezkazgan,47.8043,67.7144,3.18,85,100,8.95,KZ,1675999866
434,kruisfontein,-34.0033,24.7314,60.89,92,0,3.89,ZA,1675999867
435,olga,43.7444,135.2892,24.6,62,100,3.22,RU,1675999867
436,anchorage,61.2181,-149.9003,19.45,81,100,3.44,US,1675999675
437,turukhansk,65.8167,87.9833,-3.71,95,98,12.68,RU,1675999868
438,kuching,1.55,110.3333,85.12,86,40,2.3,MY,1675999844
439,sai buri,6.7013,101.6168,82.11,76,51,9.46,TH,1675999584
440,bestobe,52.4994,73.0975,-0.08,91,43,16.37,KZ,1675999870
441,port hedland,-20.3167,118.5667,100.45,39,20,12.66,AU,1675999587
442,santa rosa,14.3122,121.1114,89.58,64,38,13.04,PH,1675999870
443,vestmannaeyjar,63.4427,-20.2734,38.05,90,100,37.83,IS,1675999871
444,caronport,50.4501,-105.8179,23.18,82,33,9.71,CA,1675999871
445,fernley,39.608,-119.2518,44.02,59,3,3.0,US,1675999872
446,esperance,-33.8667,121.9,75.56,53,0,8.88,AU,1675999873
447,yumen,40.2833,97.2,37.98,19,3,11.65,CN,1675999873
448,kiruna,67.8557,20.2251,22.12,80,100,12.66,SE,1675999874
449,bahia honda,22.9036,-83.1592,72.34,81,1,3.49,CU,1675999875
450,cumberland,35.0502,-78.8664,68.49,71,0,12.66,US,1675999757
451,sinj,43.7036,16.6394,30.09,57,65,6.78,HR,1675999876
452,north adams,42.7009,-73.1087,49.05,80,100,10.36,US,1675999877
453,anadyr,64.75,177.4833,-28.7,66,40,13.42,RU,1675999878
454,kargasok,59.0556,80.8572,-2.25,97,53,6.58,RU,1675999878
455,lerwick,60.1545,-1.1494,41.0,97,100,19.33,GB,1675999879
456,santa cruz,-17.8,-63.1667,76.46,94,40,5.75,BO,1675999880
457,marawi,7.9986,124.2928,80.69,60,31,6.06,PH,1675999880
458,viramgam,23.1225,72.0484,73.9,45,5,5.35,IN,1675999881
459,seoul,37.5683,126.9778,45.79,78,75,8.05,KR,1675999882
460,rawson,-43.3002,-65.1023,76.91,40,17,24.81,AR,1675999883
461,general bravo,25.8,-99.1667,65.39,47,41,12.48,MX,1675999883
462,aneho,6.2333,1.6,79.97,85,24,9.33,TG,1675999678
463,panzhihua,26.5851,101.7128,65.32,32,0,0.85,CN,1675999884
464,sola,-13.8833,167.55,82.62,73,60,13.94,VU,1675999885
465,ambatondrazaka,-17.8333,48.4167,67.08,87,100,3.8,MG,1675999885
466,san bartolome de tirajana,27.9248,-15.5733,45.32,87,75,1.14,ES,1675999886
467,rio grande,-32.035,-52.0986,75.16,82,0,12.03,BR,1675999887
468,ossora,59.2353,163.0719,9.28,91,100,25.03,RU,1675999888
469,srivardhan,18.0333,73.0167,82.2,37,16,2.42,IN,1675999888
470,hargeysa,9.56,44.065,59.52,62,2,8.01,SO,1675999889
471,sur,22.5667,59.5289,71.55,63,4,6.64,OM,1675999889
472,timra,62.487,17.3257,33.48,60,76,19.57,SE,1675999890
473,nenjiang,49.1833,125.2167,14.14,89,100,4.29,CN,1675999891
474,mayor pablo lagerenza,-19.9309,-60.7718,79.81,72,44,7.29,PY,1675999891
475,malesina,38.6167,23.2333,38.23,79,98,15.5,GR,1675999892
476,margherita,27.2833,95.6833,71.06,49,96,3.27,IN,1675999860
477,castelldefels,41.2779,1.9703,46.69,78,20,10.36,ES,1675999893
478,fort nelson,58.8053,-122.7002,13.59,92,100,3.44,CA,1675999815
479,baykit,61.67,96.37,-9.09,97,100,1.7,RU,1675999894
480,kibuye,-2.0597,29.3482,63.03,79,67,2.42,RW,1675999894
481,banjarmasin,-3.3244,114.591,80.74,58,100,3.78,ID,1675999894
482,malindi,-3.2175,40.1191,76.62,85,3,5.59,KE,1675999895
483,ambon,-3.6954,128.1814,89.74,62,40,8.05,ID,1675999895
484,ucluelet,48.9329,-125.5528,47.08,92,100,7.0,CA,1675999821
485,santa marta,11.2408,-74.199,84.25,54,18,13.8,CO,1675999896
486,huoqiu,32.3394,116.2694,46.33,69,100,5.93,CN,1675999897
487,kabinda,-6.1333,24.4833,65.08,92,37,2.64,CD,1675999897
488,nanga eboko,4.6833,12.3667,63.61,90,97,1.23,CM,1675999898
489,pasni,25.2631,63.471,70.27,71,2,15.41,PK,1675999898
490,uzunovo,54.5386,38.6173,19.24,95,75,10.36,RU,1675999899
491,mandan,46.8267,-100.8896,21.81,88,0,9.22,US,1675999900
492,gusau,12.1628,6.6614,68.09,12,2,11.3,NG,1675999900
493,flinders,-34.5833,150.8552,85.17,65,11,5.01,AU,1675999901
494,tokyo,35.6895,139.6917,35.58,90,75,14.97,JP,1675999372
495,porto novo,6.4965,2.6036,77.74,90,3,4.23,BJ,1675999902
496,miquelon,47.0975,-56.3814,21.2,65,100,20.58,PM,1675999902
497,kahului,20.8947,-156.47,77.02,69,40,14.97,US,1675999902
498,bandraboua,-12.7044,45.1223,80.28,75,100,9.31,YT,1675999903
499,coquimbo,-29.9533,-71.3436,64.13,88,100,4.61,CL,1675999832
500,dale,38.1689,-86.99,44.94,76,100,11.5,US,1675999890
501,sooke,48.3746,-123.7276,44.28,83,89,1.59,CA,1675999904
502,coos bay,43.3665,-124.2179,49.98,87,100,13.8,US,1675999724
503,amapa,1.0,-52.0,71.82,99,100,2.04,BR,1675999904
504,pacific grove,36.6177,-121.9166,56.37,84,0,4.61,US,1675999905
505,goundam,16.4145,-3.6708,71.91,13,1,7.63,ML,1675999905
506,caibarien,22.5206,-79.4669,74.52,82,20,16.53,CU,1675999906
507,alindao,5.0267,21.2088,68.74,29,75,3.24,CF,1675999906
508,gulu,2.7746,32.299,70.14,41,19,2.17,UG,1675999906
509,santa isabel do rio negro,-0.4139,-65.0192,73.2,98,100,0.51,BR,1675999907
510,darnah,32.767,22.6367,54.21,71,100,20.62,LY,1675999907
511,ust-maya,60.4167,134.5333,-27.42,92,86,2.15,RU,1675999908
512,luau,-10.7073,22.2247,61.77,97,99,2.44,AO,1675999908
513,elko,41.0002,-115.5012,19.42,83,9,4.0,US,1675999702
514,innisfail,-17.5333,146.0333,81.41,84,91,4.72,AU,1675999909
515,tocopilla,-22.092,-70.1979,71.87,80,51,2.64,CL,1675999909
516,soc trang,9.6033,105.98,85.8,54,58,15.26,VN,1675999678
517,tateyama,34.9833,139.8667,40.93,93,75,6.91,JP,1675999910
518,sabratah,32.7933,12.4885,51.31,69,23,18.1,LY,1675999910
519,san patricio,28.017,-97.5169,62.46,58,100,5.97,US,1675999911
520,konza,-1.7426,37.1294,57.18,75,0,4.0,KE,1675999911
521,longonjo,-12.9067,15.2533,59.09,72,76,1.7,AO,1675999912
522,comodoro rivadavia,-45.8667,-67.5,71.46,33,0,11.5,AR,1675999912
523,kiama,-34.6833,150.8667,85.37,65,8,8.99,AU,1675999913
524,mersing,2.4312,103.8405,82.31,83,40,12.66,MY,1675999913
525,haines junction,60.7522,-137.5108,13.95,79,100,3.44,CA,1675999914
526,san antonio,29.4241,-98.4936,60.62,53,0,6.91,US,1675999703
527,malmo,55.6059,13.0007,40.1,88,100,20.36,SE,1675999914
528,talakan,50.3167,130.3667,11.23,88,100,6.85,RU,1675999915
529,zapolyarnyy,69.4154,30.8136,27.68,95,100,11.68,RU,1675999915
530,sovetskiy,61.3614,63.5842,11.19,95,100,4.97,RU,1675999916
531,vanimo,-2.6741,141.3028,83.03,72,97,10.16,PG,1675999916
532,malgrat de mar,41.6466,2.7414,47.95,77,4,3.85,ES,1675999917
533,egvekinot,66.3167,-179.1667,-23.39,89,90,7.11,RU,1675999917
534,chuka,-0.3332,37.6459,59.72,58,4,3.8,KE,1675999918
535,ballina,-28.8667,153.5667,83.01,68,0,11.25,AU,1675999918
536,asahi,35.7167,140.65,38.17,81,100,11.25,JP,1675999919
537,zaysan,47.4667,84.8667,20.23,88,82,2.17,KZ,1675999919
538,belaya gora,68.5333,146.4167,-39.57,98,99,4.25,RU,1675999919
539,leesburg,39.1157,-77.5636,67.05,74,0,16.11,US,1675999687
540,faya,18.3851,42.4509,50.11,75,32,1.97,SA,1675999920
541,los alamos,35.8881,-106.307,25.38,63,0,5.75,US,1675999921
542,general roca,-39.0333,-67.5833,83.46,26,0,16.64,AR,1675999922
543,lincolnton,35.4737,-81.2545,66.22,80,100,11.5,US,1675999923
544,alyangula,-13.8483,136.4192,86.34,68,100,3.67,AU,1675999923
545,kununurra,-15.7667,128.7333,94.98,52,96,3.44,AU,1675999923
546,kasane,-17.8167,25.15,66.29,100,40,1.14,BW,1675999924
547,kismayo,-0.3582,42.5454,77.22,82,20,14.43,SO,1675999925
548,moba,33.2288,105.0179,35.44,94,100,5.21,CN,1675999925
549,port blair,11.6667,92.75,82.44,65,71,5.75,IN,1675999926
550,agadir,30.4202,-9.5982,64.85,26,100,16.6,MA,1675999926
551,zunheboto,25.9667,94.5167,61.52,51,11,1.99,IN,1675999926
